CommentID||RecipeID||Classification
30799658||1015181||1, 5
31018988||1015181||5
31338013||1015181||1, 2, 5
100508781||1015181||1, 5
101075385||1015181||1, 5
101956576||1015181||1, 5
104276995||1015181||1, 2, 5
104802753||1015181||1, 5
105214575||1015181||1, 5
106090552||1015181||1, 5
106303348||1015181||1, 5
107813470||1015181||1, 5
108180672||1015181||1, 5
108291792||1015181||1, 5
109090067||1015181||1, 5
109808489||1015181||1, 5
110084988||1015181||1, 5
110596395||1015181||1, 2, 5
110901178||1015181||1, 5
111231463||1015181||1, 5
111235633||1015181||5
111355907||1015181||1, 5
111676345||1015181||1, 5
111817261||1015181||1, 5
111906957||1015181||1, 5
112433445||1015181||3, 4
112877542||1015181||1, 5
112947061||1015181||1, 3, 5
112967031||1015181||1, 5
113992095||1015181||1, 5
114061199||1015181||1, 5
114366785||1015181||1, 5
114641613||1015181||1, 5
114715930||1015181||3, 5
115218771||1015181||1, 5
115668627||1015181||1, 5
115892167||1015181||1, 5
116156489||1015181||1, 5
116406856||1015181||1, 5
116550098||1015181||1, 5
117001615||1015181||4, 5
117025844||1015181||4, 5
117196277||1015181||1, 4, 5
117250047||1015181||1, 5
117866574||1015181||1, 5
117911604||1015181||1, 5
120252440||1015181||1, 5
120666309||1015181||1, 5
120672410||1015181||5
120678580||1015181||1, 5
120695450||1015181||1, 5
120697811||1015181||5
120707490||1015181||1, 5
120765309||1015181||4, 5
120765317||1015181||3, 4
120765323||1015181||4, 5
121093940||1015181||1, 5
121158368||1015181||1, 5
121431679||1015181||1, 5
121451432||1015181||5
121456195||1015181||5
121595371||1015181||5, 3
121660785||1015181||1, 5
121762414||1015181||1, 3
122208171||1015181||1, 5
122537415||1015181||1, 5
122672927||1015181||4
122853942||1015181||1, 5
123202999||1015181||5
123249903||1015181||1, 5
123277388||1015181||4
123596528||1015181||5
124135324||1015181||4, 5
124468883||1015181||1, 5
126114497||1015181||1, 5
127160788||1015181||1, 5
127572919||1015181||1, 3, 4
128094566||1015181||1, 2, 5
128125824||1015181||1, 5
128126272||1015181||1, 5
128134664||1015181||1, 5
128164887||1015181||5
128172810||1015181||1, 5
128268470||1015181||5
128289202||1015181||1, 5
128449794||1015181||1, 5
128567522||1015181||1, 3, 5
129105398||1015181||5
129234844||1015181||5
129357650||1015181||1, 5
129820384||1015181||1, 5
129932503||1015181||1, 5
130009560||1015181||1, 5
130598348||1015181||1, 2, 5
130602670||1015181||1, 3, 5
130602902||1015181||1, 5
130603577||1015181||5
130605596||1015181||1, 5
130606042||1015181||3, 5
130606788||1015181||1, 5
130608418||1015181||1, 5
130610186||1015181||1, 5
130610250||1015181||5
130610383||1015181||4, 5
130612087||1015181||5
130613582||1015181||5
130613935||1015181||1, 4, 5
130615854||1015181||1, 5
130633107||1015181||4, 5
130636223||1015181||5
130691299||1015181||5
130751716||1015181||5
130774442||1015181||5
130891957||1015181||1, 5
131176312||1015181||1, 5
131177109||1015181||1, 5
131274310||1015181||5
131327318||1015181||1, 5
131600975||1015181||4, 5
131646027||1015181||1, 5
132538103||1015181||4, 5
132542111||1015181||3, 4
132545882||1015181||1, 5
133634540||1015181||1, 2, 5
135528323||1015181||1, 5
135731137||1015181||3, 5
16988985||1017724||4, 1
25335091||1017724||3, 5
16872166||1017724||1, 5
21520402||1017724||5
25185954||1017724||1, 5
16275257||1017724||1, 5
17020594||1017724||1, 5
16984055||1017724||4, 5
102299638||1017724||1, 5
16405298||1017724||1, 2, 5
16984481||1017724||1, 5
17130977||1017724||1, 2, 5
16268286||1017724||1, 3, 5
16275772||1017724||1, 5
16274559||1017724||1, 5
17060231||1017724||1, 5
22237776||1017724||1, 5
24715187||1017724||1, 5
16370417||1017724||1, 5
16608197||1017724||1, 5
16265951||1017724||4, 5
16334708||1017724||1, 5
16397234||1017724||1, 5
16266529||1017724||1, 5
16401081||1017724||1, 2
20542741||1017724||1, 5
16265884||1017724||5
16340481||1017724||1, 5
16790962||1017724||1, 5
20575506||1017724||1, 5
29940963||1017724||1, 5
24963547||1017724||1, 5
17257146||1017724||1, 5
16370378||1017724||1, 5
16795679||1017724||1, 5
17956218||1017724||1, 5
16932169||1017724||1, 5
17050838||1017724||1, 2
29862343||1017724||1, 5
110344158||1017724||1, 5
16266621||1017724||1, 5
20298536||1017724||1, 5
16336158||1017724||1, 5
16797666||1017724||1, 5
17772570||1017724||1, 5
16268009||1017724||1, 5
17010533||1017724||1, 5
16345156||1017724||1, 5
17251546||1017724||5
16771803||1017724||1, 2, 3, 5
16266618||1017724||5
16349797||1017724||1, 5
16275779||1017724||1, 5
16997911||1017724||1, 5
111338979||1017724||1, 5
16759120||1017724||1, 5
24941850||1017724||1, 5
108219628||1017724||1, 5
24794000||1017724||1, 5
17093914||1017724||1, 5
29595678||1017724||1, 5
16268108||1017724||1, 5
16390116||1017724||1, 5
16704916||1017724||1, 5
29010929||1017724||4, 5
17029992||1017724||1, 5
20022522||1017724||1, 5
29894151||1017724||4
16319395||1017724||1, 3
17446479||1017724||3, 4
20542764||1017724||1, 5
20639206||1017724||1, 5, 3
21603464||1017724||1, 5
29516938||1017724||1, 5
29894596||1017724||1, 5
16288033||1017724||1, 2, 5
23580952||1017724||1, 5
29455556||1017724||1, 2, 5
17095510||1017724||1, 5
20215138||1017724||1, 5
23789992||1017724||1, 5
24938725||1017724||1, 5
16231934||1017724||1, 5
16303487||1017724||1, 5
17045338||1017724||1, 5
17052586||1017724||3, 5
19166303||1017724||1, 5
29421228||1017724||1, 2, 4, 5
106475726||1017724||1, 5
16274718||1017724||1, 3
17094338||1017724||5
28637549||1017724||5
29252210||1017724||3, 5
16758002||1017724||1, 5
16973386||1017724||1, 5
20607927||1017724||1, 5
29319716||1017724||3, 5
29501930||1017724||1, 5
29782174||1017724||1, 5
128940889||1017724||1, 5
129303400||1017724||1, 2, 5
129307577||1017724||1, 5
16773345||1017724||5
17043922||1017724||5
17044151||1017724||1, 5
17044162||1017724||1, 3, 5
17044358||1017724||3, 5
17106878||1017724||1, 5
17109691||1017724||5
24963767||1017724||1, 5
25001527||1017724||1, 5
29011047||1017724||1, 5
104322061||1017724||1, 5
108873907||1017724||1, 5
115457118||1017724||1, 5
124004074||1017724||1, 5
124311688||1017724||1, 5
128335005||1017724||1, 5
16267117||1017724||1, 5
16990219||1017724||1, 5
20379338||1017724||1, 5
29447894||1017724||5
29581296||1017724||1, 5
103906875||1017724||1, 5
104321663||1017724||1, 5
115460687||1017724||1, 5
116081041||1017724||1, 5
121452500||1017724||1, 5
121677507||1017724||5
122328759||1017724||5
122625996||1017724||1, 5
124340986||1017724||1, 5
129267660||1017724||5
129268881||1017724||1, 4, 5
16270340||1017724||1, 5
16758914||1017724||1, 3, 5
20632542||1017724||1, 5
24712240||1017724||1, 5
29265213||1017724||1, 5
30578297||1017724||1, 5
110014551||1017724||1, 5
115469863||1017724||1, 5
121653033||1017724||1, 3, 5
121676490||1017724||1, 5
121701237||1017724||1, 5
122941304||1017724||1, 5
124307812||1017724||5
125364350||1017724||1, 5
129127133||1017724||5
129205336||1017724||1, 5
129309240||1017724||5
129312900||1017724||1, 5
129432966||1017724||1, 5
129708849||1017724||1, 5
129717989||1017724||1, 5
101316813||1020330||1, 5
101337475||1020330||1, 5
101338180||1020330||1, 5
101295414||1020330||1, 5
101315903||1020330||1, 5
101459332||1020330||1, 5
101377722||1020330||1, 5
101338962||1020330||1, 5
101334329||1020330||1, 5
101361178||1020330||1, 5
101374296||1020330||1, 5
101451257||1020330||1, 5, 4
104035271||1020330||1, 5
101565159||1020330||1, 5
101404393||1020330||1, 5
108481199||1020330||1, 5
102292618||1020330||1, 2
101402886||1020330||1, 5
104021922||1020330||4, 5
101318698||1020330||1, 5
106401869||1020330||1, 5
105217616||1020330||1, 5
111136924||1020330||1, 5
105718123||1020330||1, 5
104219175||1020330||1, 5
112197306||1020330||1, 5
108853516||1020330||1, 5
102660278||1020330||1, 5
103616645||1020330||1, 5
112195393||1020330||1, 5
109878366||1020330||1, 5
104275782||1020330||1, 5
104362201||1020330||1, 5
104292837||1020330||1, 5
112257651||1020330||1, 5
111172678||1020330||1, 5
109331358||1020330||1, 5
111805000||1020330||1, 3
115626052||1020330||1, 5
103661769||1020330||1, 5, 3
110991372||1020330||1, 5
117639030||1020330||1, 5
102673482||1020330||1, 5
107301299||1020330||1, 5
103703160||1020330||1, 5
112270646||1020330||1, 5
126357387||1020330||1, 5
126538307||1020330||1, 5
127001672||1020330||1, 5
127001770||1020330||1, 5
127008314||1020330||1, 5
127008335||1020330||1, 5
109323536||1020330||1, 5
125423314||1020330||1, 5
127002023||1020330||1, 3
127004070||1020330||1, 5
127012700||1020330||1, 5
127883042||1020330||1, 5
130987336||1020330||1, 5
131617997||1020330||1, 5
132119022||1020330||1, 5
103553932||1020583||1, 5
103613930||1020583||1, 5
103530357||1020583||1, 5
103580193||1020583||1, 5
103532350||1020583||1, 5
103546508||1020583||1, 5
103571690||1020583||1, 5
103723985||1020583||1, 5
103574971||1020583||1, 5
103579767||1020583||1, 5
103552320||1020583||1, 5
103583466||1020583||1, 5
103572494||1020583||4, 5
104887545||1020583||5
103568163||1020583||1, 5
103521670||1020583||3, 5
107187237||1020583||1, 5
103568772||1020583||1, 5
109468074||1020583||1, 5
103588752||1020583||1, 3, 4, 5
103547638||1020583||3, 5
103526485||1020583||5
103564635||1020583||1, 5
103581375||1020583||1, 5
109230071||1020583||1, 5
103860545||1020583||1, 5
103567627||1020583||5
106823661||1020583||1, 5
103519024||1020583||2
103706723||1020583||1, 5
103583437||1020583||1, 5
103567581||1020583||5
109469714||1020583||1, 5
111765726||1020583||5
116980469||1020583||1, 5
109222342||1020583||4, 5
103566065||1020583||4, 5
103737896||1020583||1, 5
107859160||1020583||1, 5
112969519||1020583||1, 5
118891093||1020583||1, 5
103678420||1020583||1, 5
116776129||1020583||1, 5
103569141||1020583||3
113029585||1020583||1, 5
118684013||1020583||1, 5
110629259||1020583||1, 5
119891984||1020583||1, 5
121435695||1020583||4, 5
123268438||1020583||5
131403250||1020583||5
101118469||1020288||1, 5
102181246||1020288||1, 4, 5
101129780||1020288||4, 5
101185187||1020288||1, 5
107934370||1020288||1, 5
101118740||1020288||1, 5
101556693||1020288||1, 5
109081980||1020288||1, 3, 4, 5
102802108||1020288||4, 5
114106835||1020288||1, 5
101209483||1020288||4, 5
107752829||1020288||1, 5
101141200||1020288||1, 5
101925771||1020288||1, 5
102236679||1020288||1, 5
108701784||1020288||1, 5
104344056||1020288||1, 5
104481457||1020288||1, 5
108069400||1020288||1, 5
106130926||1020288||1, 5
101187782||1020288||1, 5
107158382||1020288||1, 5
107512044||1020288||1, 5
111412986||1020288||1, 5
108146343||1020288||1, 5
127090363||1020288||1, 5
114068036||1020288||4, 5
108376743||1020288||1, 5
108416497||1020288||1, 4, 5
109246137||1020288||1, 5
127619049||1020288||1, 5
101717470||1020288||1, 3, 4, 5
107712491||1020288||5
107835228||1020288||1, 5
108098623||1020288||1, 5
114169067||1020288||1, 4, 5
116867584||1020288||1, 2, 5
125811231||1020288||1, 5
109273410||1020288||1, 5
124214781||1020288||1, 2, 5
108068473||1020288||1, 5
108529433||1020288||1, 5
116696852||1020288||1, 5
117081436||1020288||3
120446643||1020288||1, 5
111512659||1020288||1, 5
118911698||1020288||3
121844616||1020288||1, 5
123343911||1020288||1, 5
124108676||1020288||1, 5
30778406||1020045||4, 5
100730294||1020045||1, 5
30782007||1020045||1, 5
30779283||1020045||1, 5
100074757||1020045||1, 5
100330357||1020045||1, 2, 5
30777359||1020045||1, 5
100758017||1020045||1, 5
30855300||1020045||1, 5
100204678||1020045||1, 5
30817453||1020045||1, 5
30826126||1020045||1, 5
100760294||1020045||1, 5
30793777||1020045||1, 5
30789366||1020045||1, 5
30776693||1020045||1, 5
100668753||1020045||1, 5
30777810||1020045||1, 5
30860681||1020045||1, 5
107956572||1020045||1, 5
100180124||1020045||1, 5
30817093||1020045||1, 5
30824114||1020045||1, 5
30866549||1020045||1, 5
30765832||1020045||1, 5
30832634||1020045||1, 5
30982002||1020045||1, 5
100763437||1020045||1, 5
100765093||1020045||1, 5
30895984||1020045||1, 5
100440486||1020045||1, 5
30783680||1020045||1, 5
30867947||1020045||1, 5
30789569||1020045||1, 5
30828250||1020045||1, 5
30896360||1020045||1, 2, 5
100116141||1020045||4, 5
30797771||1020045||1, 5
30809352||1020045||1, 5
30850511||1020045||1, 5
30792660||1020045||1, 5
30869538||1020045||1, 5
30875669||1020045||1, 5
30881234||1020045||1, 5
30804887||1020045||1, 5
30827456||1020045||1, 5
30929333||1020045||1, 5
30934218||1020045||1, 5
100346395||1020045||1, 2, 5
30765778||1020045||5
30792256||1020045||1, 5
30826734||1020045||1, 5
30955994||1020045||1, 5
100576132||1020045||1, 5
100761573||1020045||1, 5
100761712||1020045||1, 5
30764336||1020045||4, 5
30774612||1020045||1, 5
30777339||1020045||1, 5
30783286||1020045||1, 5
30810082||1020045||1, 5
30859936||1020045||1, 5
30880301||1020045||1, 2, 5
30887105||1020045||1, 5
30980283||1020045||1, 5
31092707||1020045||1, 3, 5
100453895||1020045||1, 5
100770906||1020045||1, 5
112290752||1020045||2, 5
30760889||1020045||1, 5
30767775||1020045||1, 5
30768658||1020045||1, 5
30786908||1020045||1, 5
30792057||1020045||1, 5
30792675||1020045||1, 5
30793235||1020045||1, 5
30832590||1020045||4
30845779||1020045||1, 5
30854652||1020045||1, 2, 3, 5
30854736||1020045||1, 5
31007895||1020045||1, 5
108213089||1020045||1, 5
110157494||1020045||5
30764073||1020045||4, 5
30788421||1020045||1, 3
30801016||1020045||1, 5
30967719||1020045||1, 5
31076574||1020045||1, 5
31135669||1020045||1, 5
31192677||1020045||1, 5
31311862||1020045||1, 5
31311988||1020045||5
31339394||1020045||1, 5
31414245||1020045||1, 5
31429237||1020045||5
31512571||1020045||5
100214134||1020045||1, 5
100338849||1020045||1, 5
100562138||1020045||1, 5
100760590||1020045||1, 5
100761415||1020045||1, 5
100761957||1020045||1, 5
100762523||1020045||1, 2, 5
135830015||1020045||1, 5
135866145||1020045||1, 5
126013170||1024325||1, 5
126027024||1024325||1, 5
126047018||1024325||1, 5
126020106||1024325||4, 5
126013593||1024325||1, 5
126050793||1024325||1, 5
126054628||1024325||1, 5
126016030||1024325||1, 5
126038235||1024325||1, 5
126050692||1024325||1, 5
126050181||1024325||4, 1, 5
126020763||1024325||1, 5
126044366||1024325||1, 5
126062469||1024325||1, 5
126050852||1024325||1, 5
126070839||1024325||1, 5
126115643||1024325||3, 4
126240963||1024325||1, 2, 5
126556027||1024325||4, 5
126023947||1024325||3, 5
126373601||1024325||4, 5
126965737||1024325||1, 5
132640610||1024325||1, 4, 5
117445153||1023047||1, 5
117439241||1023047||1, 5
117551024||1023047||1, 5
117454284||1023047||1, 5
117444083||1023047||1, 5
117449525||1023047||1, 5
117453615||1023047||4, 5
117453245||1023047||1, 5
117448390||1023047||1, 5
117448438||1023047||1, 5
117455298||1023047||1, 5
117455185||1023047||1, 5
117448315||1023047||1, 4
117515302||1023047||1, 5
117465184||1023047||1, 5
117452966||1023047||1, 5
117513227||1023047||1, 5
117452261||1023047||1, 5
117455894||1023047||1, 5
118050331||1023047||1, 5
117453423||1023047||4, 5
117463107||1023047||1, 5
117508810||1023047||1, 5
117450015||1023047||1, 5
117541402||1023047||2, 4
117697528||1023047||1, 5
117470176||1023047||1, 5
117454271||1023047||1, 2
117465592||1023047||1, 5
117450556||1023047||3, 5
117536765||1023047||1, 5
117502577||1023047||1, 5
118933873||1023047||1, 5
120347709||1023047||1, 5
120633448||1023047||1, 5
117447125||1023047||1, 5
117502714||1023047||1, 2
120833296||1023047||1, 5
117541304||1023047||1, 5
117523757||1023047||1, 5
117492222||1023047||1, 5
118943743||1023047||1, 5
117499289||1023047||1, 5
118711422||1023047||1, 5
118178003||1023047||1, 5
128195508||1023047||1, 5
117541281||1023047||1, 5
117638451||1023047||5
120132639||1023047||1, 5
117455573||1023047||1, 4, 5
117538848||1023047||1, 5
117541575||1023047||1, 5
118817465||1023047||1, 5
121900270||1023047||1, 5
122014102||1023047||1, 5
124953843||1023047||1, 5
117437449||1023047||1, 5
117464021||1023047||1, 5
117467415||1023047||1, 5
121976250||1023047||1, 5
121995707||1023047||1, 5
128065162||1023047||1, 5
129605711||1023047||1, 5
131665388||1023047||1, 5
118854667||1023047||1, 5
120143110||1023047||1, 5
122083598||1023047||1, 5
117544038||1023047||5
121642925||1023047||1, 5
122081646||1023047||1, 5
131773323||1023047||1, 5
132026468||1023047||1, 5
121793305||1023675||1, 5
121816486||1023675||1, 5
122125708||1023675||1, 5
121790942||1023675||1, 5
121837016||1023675||5
121978933||1023675||1, 5
122184907||1023675||1, 3, 5
121835784||1023675||3, 5
121784322||1023675||1, 5
121860299||1023675||1, 5
121799726||1023675||1, 5
121843859||1023675||1, 5
121811515||1023675||1, 5
121823224||1023675||1, 5
121817759||1023675||1, 5
121821015||1023675||1, 2, 5
123721436||1023675||1, 5
121811244||1023675||1, 5
121814924||1023675||1, 5
121831171||1023675||1, 5
121830289||1023675||1, 5
126257942||1023675||1, 5
121898140||1023675||1, 5
121938180||1023675||1, 5
124416777||1023675||1, 5
121798462||1023675||1, 5
121857358||1023675||1, 5, 4
121951911||1023675||1, 5
124035009||1023675||1, 5
121822440||1023675||1, 5
121937149||1023675||1, 5
130919009||1023675||1, 5
121822184||1023675||1, 5
121904071||1023675||1, 5
122895646||1023675||5
126495311||1023675||1, 3, 5
127161847||1023675||3, 4
121788798||1023675||1, 5
121899432||1023675||5
121907838||1023675||1, 5
128731122||1023675||1, 5
121822651||1023675||1, 5
121907590||1023675||1, 5
121916046||1023675||1, 5
121993266||1023675||3, 5
122059275||1023675||1, 5
122177250||1023675||1, 5
122201101||1023675||3, 5
123413281||1023675||1, 5
127769985||1023675||1, 4, 5
129395803||1023675||1, 5
121900043||1023675||1, 3, 5
121906973||1023675||5
122128334||1023675||1, 3, 5
122535847||1023675||1, 2, 5
122602221||1023675||1, 5
124233174||1023675||1, 5
126822835||1023675||4, 5
127712876||1023675||1, 5
128282780||1023675||1, 5
128311372||1023675||1, 4, 5
128711973||1023675||1, 5
129515028||1023675||1, 5
129779904||1023675||1, 5
129838368||1023675||3, 5
103699510||1020631||1, 5
103712523||1020631||1, 5
104388052||1020631||1, 5
103762135||1020631||5
109520346||1020631||1, 5
104733612||1020631||1, 5
103847211||1020631||1, 5
109908883||1020631||1, 3
103701858||1020631||1, 5
103810251||1020631||1, 5
103920321||1020631||1, 5
103925644||1020631||1, 5
103712033||1020631||1, 5
103980225||1020631||1, 5
103716160||1020631||1, 5
106550976||1020631||1, 5
103907970||1020631||1, 5
103920533||1020631||1, 5
103865212||1020631||1, 5
103901961||1020631||1, 2
111090503||1020631||1, 5
104032341||1020631||1, 5
110696273||1020631||1, 5
104717206||1020631||1, 5
103751627||1020631||1, 5
109759635||1020631||5
111006967||1020631||1, 5
103936516||1020631||1, 5
103709724||1020631||1, 5
105484003||1020631||1, 5
104004506||1020631||1, 5
110560299||1020631||1, 5
